PINK FLOYD - PRE TRAINED - DROPOUT 0.4
160 texts collected.
Training on 94,448 character sequences.
Epoch, train_loss, val_loss
1, 1.4076, 1.3229
2, 1.2727, 1.3307
3, 1.2111, 1.2079
4, 1.1669, 1.3939
5, 1.1285, 1.4516
6, 1.0905, 1.4140
7, 1.0562, 1.1846
8, 1.0228, 1.1594
9, 0.9940, 1.5383
10, 0.9640, 1.2710
11, 0.9369, 1.2620
12, 0.9110, 1.4798
13, 0.8871, 1.4216
14, 0.8624, 1.3734
15, 0.8380, 1.4510
16, 0.8175, 1.3121
17, 0.7966, 1.3946
18, 0.7761, 1.4154
19, 0.7572, 1.6001
20, 0.7424, 1.2610
